""
epoch,train_acc,valid_acc,train_loss,valid_loss
1,0.314175,0.4052,582.4503620862961,0.012931264913082123
2,0.434925,0.4474,491.71542513370514,0.012296513450145721
3,0.46655,0.47,472.27950525283813,0.011652358257770539
4,0.49175,0.4921,454.165132522583,0.0110739679813385
5,0.50165,0.4959,447.7377563714981,0.011839228618144989
6,0.511025,0.4948,438.882581114769,0.011308182001113892
7,0.515375,0.4635,436.98103857040405,0.012194851148128509
8,0.523575,0.5182,429.26855421066284,0.01071900029182434
9,0.531775,0.5041,424.17071282863617,0.011055735611915588
10,0.5349,0.4943,419.2754701972008,0.011530276882648467
11,0.54105,0.4605,417.038938164711,0.012905300116539002
12,0.5548,0.5107,404.3207664489746,0.01187292697429657
13,0.5569,0.5406,400.43131893873215,0.010807260954380036
14,0.5667,0.5507,397.3209663629532,0.010295427763462067
15,0.56535,0.538,395.55425667762756,0.010596250009536743
16,0.5728,0.5304,395.39325761795044,0.01072372691631317
17,0.5685,0.5231,398.8267228603363,0.011088249373435975
18,0.5775,0.5377,389.70933479070663,0.010800827741622925
19,0.586225,0.5293,383.46856343746185,0.010948517072200774
20,0.586075,0.5461,383.2596616744995,0.010762481451034546
21,0.5936,0.5659,375.91128063201904,0.010301349830627441
22,0.59685,0.57,373.4390023946762,0.010299395143985748
23,0.595525,0.5431,375.6989880204201,0.011092667144536971
24,0.5948,0.5342,374.62288439273834,0.011341856288909912
25,0.598325,0.5711,373.1291314959526,0.010504263556003571
26,0.60405,0.5754,371.4069479107857,0.01011256741285324
27,0.600275,0.5784,368.95685827732086,0.01020816843509674
28,0.60255,0.5309,369.8885775208473,0.011039945739507675
29,0.604525,0.591,370.04300117492676,0.009777010971307754
30,0.610575,0.5754,364.4019639492035,0.010326769125461578
31,0.614225,0.5478,360.152984559536,0.01098799386024475
32,0.6088,0.5734,363.88877707719803,0.010557220673561097
33,0.616625,0.5783,361.97215992212296,0.010183843123912812
34,0.614475,0.5583,363.2427496314049,0.010586885797977447
35,0.6164,0.5498,359.4980362057686,0.011986626315116882
36,0.61415,0.5258,362.9985239505768,0.011417350339889526
37,0.615325,0.6003,361.7673542499542,0.009589673787355422
38,0.61835,0.571,357.46778386831284,0.010153973734378815
39,0.614425,0.57,361.40667766332626,0.010409554255008698
40,0.62095,0.5857,356.91499269008636,0.010060493874549865
41,0.62355,0.5753,356.1757800579071,0.010263175404071808
42,0.6177,0.5864,361.5684577226639,0.009938359010219574
43,0.62025,0.5821,358.45119589567184,0.010162312281131744
44,0.620075,0.5789,359.8735032081604,0.01013083143234253
45,0.620975,0.5793,356.03978329896927,0.009925713872909546
46,0.615775,0.5519,360.1877301931381,0.010796506416797637
47,0.622225,0.5481,356.0138714313507,0.011099350857734681
48,0.624875,0.5821,354.8442000746727,0.010320879447460175
49,0.623875,0.5769,353.9456014037132,0.010367256331443787
50,0.621875,0.5978,357.4941135644913,0.00939030818939209
51,0.627025,0.5455,351.1131791472435,0.011111413884162903
52,0.628675,0.5689,352.00169467926025,0.010412957644462586
53,0.619875,0.5687,358.7536408305168,0.010444836974143982
54,0.622725,0.5889,355.2569286227226,0.009760985815525055
55,0.624975,0.5854,351.91129845380783,0.01039038292169571
56,0.62885,0.5797,349.250832259655,0.010050255632400513
57,0.62625,0.5734,351.28976887464523,0.010595389544963836
58,0.630175,0.5627,348.7020773887634,0.010741080987453461
59,0.627825,0.5645,353.5188728570938,0.011044105589389801
60,0.624225,0.5535,357.43618071079254,0.010708736753463744
61,0.721225,0.6627,260.8860155940056,0.008444872492551804
62,0.7609,0.6691,219.1854165494442,0.008385553306341172
63,0.780825,0.6683,199.33604857325554,0.008373512023687362
64,0.7986,0.6672,183.3669821023941,0.008628964191675186
65,0.81015,0.665,171.72627773880959,0.008972929781675338
66,0.8202,0.6616,161.0074332356453,0.009166660439968109
67,0.830925,0.6647,151.70020055770874,0.009119275903701781
